slug,display,basis,sources
mauritius-national-identity-card-unit,Mauritius National Identity Card Unit,full,1
mauritius-police-force,Mauritius Police Force,full,4
mauritius-qualifications-authority,Mauritius Qualifications Authority,full,1
mauritius-research-and-innovation-council,Mauritius Research and Innovation Council,full,2
mauritius-revenue-authority,Mauritius Revenue Authority,full,10
mauritius-standards-bureau,Mauritius Standards Bureau,full,4
mauritius-telecom,Mauritius Telecom,full,11
mawingu,Mawingu,full,1
mawingu-networks-limited,Mawingu Networks,full,1
mawingu-networks-ltd,Mawingu Networks Ltd,full,1
mawingu-networks-ltd-tanzania-expansion,Mawingu Networks Ltd,partial,1
mayelia-mobility,Mayelia Mobility,full,1
maziv,Maziv,full,2
mbale-ict-hub,Mbale ICT Hub,full,1
mbavaa-partners,Mbavaa Partners,full,1
mbsse,Ministry of Basic and Senior Secondary Education,acronym,1
mbtp-sa,MBTP SA,full,1
mcc,Millennium Challenge Corporation,acronym,6
mcdf,Le Mcdf,full,1
mcert-malawi,Malawi Computer Emergency Response Team,acronym,1
mcipme-guinea,MCIPME. Pensée,full,1
mcit,Ministry of Communications and Information Technologies,acronym,1
mcit-egypt,Ministry of Communications and Information Technology,acronym,5
mcpt-djibouti,MCPT URL,full,1
mctd-mozambique,Modelo Conceptual de Transformação Digital,acronym,1
mctit-burundi,MCTIT,full,1
mdeni-djibouti,MDENI,full,6
mdenp-burkina-faso,MDENP,full,2
mdpa-mauritius,Mauritius Digital Promotion Agency,acronym,1
meadd-mali,MEADD,full,1
meaden,Meaden,full,1
med-or-foundation,Med-Or Italian Foundation,full,1
medd-nec-rdc,MEDD-NEC,full,1
medhat-elhusseiny,Dr. Medhat ElHusseiny,full,1
media-council-of-kenya,Media Council of Kenya,full,2
media-foundation-west-africa,Media Foundation for West Africa,full,4
media-monitoring-africa,Media Monitoring Africa,full,1
media-reform-coordinating-group,Media Reform Coordinating Group,full,1
media-rights-agenda,Media Rights Agenda,full,2
mediabox,MEDIABOX,full,1
medic,Medic,full,1
medical-and-dental-council-ghana,Medical and Dental Council of Ghana,full,1
medical-council-of-malawi,Medical Council of Malawi,full,1
medical-supply-organisation-libya,Medical Supply Organisation,full,1
mediterrania-capital-partners,Mediterrania Capital Partners,full,2
medlitics,Medlitics,full,1
medusa-africa,MEDUSA AFRICA,full,2
medusa-submarine-cable,Medusa Submarine Cable System,full,5
medusalocker,MedusaLocker,full,1
medwaka,Medwaka,full,1
meedan,Meedan,full,2
meity,MeitY,full,1
meltwater,Meltwater,full,2
menfop-djibouti,MENFOP,full,6
menrs-burundi,MENRS,full,4
mensur-djibouti,MENSUR,full,1
mepci-central-african-republic,MEPCI,full,5
meppsa-congo,MEPPSA,full,1
mepst-drc,MEPST,full,1
mepst-rdc,MEPST,full,1
mepsta-togo,MEPSTA,full,3
mepu-a-guinea,MEPU-A,full,1
mepua-guinea,MEPUA,full,1
merankabandi,Merankabandi,full,6
meras-djibouti,Meras Djibouti,full,1
mercury-angola,Mercury,full,1
mercy-corps,Mercy Corps,full,3
meriem-benmouloud,Meriem Benmouloud,full,5
meristem-securities,Meristem Securities,full,1
merry-toi-milonon,Merry Toi-Milonon,full,1
merveille-hountondji,Pour Merveille Hountondji,full,1
mescti-angola,MESCTI,full,4
mesfpt-burkina-faso,MESFPT,full,1
mesob,MESOB,full,1
mesob-ethiopia,Addis MESOB,full,1
mesrsi-guinea,MESRSI,full,1
mesupres-madagascar,Mesupres,full,2
meta,Meta and Google,full,1
metac,METAC,full,1
meteo-benin,METEO BENIN,full,1
meteo-france-international,Meteo France International,full,2
meteorological-services-department-zimbabwe,Meteorological Services Department,full,1
metix-mozambique,METIX,full,2
metro-cable,Metro Cable,full,1
mettelsat,METTELSAT,full,3
meyng,MEYNG,full,1
mezzanine,Mezzanine,full,1
mfs-africa,MFS Africa,full,1
mfwa,Media Foundation For West Africa,acronym,1
mg-ministry-digital-development,Ministry of Digital Development,partial,3
mg-ministry-energy-hydrocarbons,Ministry of Energy and Hydrocarbons,partial,1
mgi-communications,MGI Communications AG,full,1
miary-digital-madagascar,Miary Digital,full,1
michel-kayembe,Michel Kayembe,full,2
michel-ngakala,Michel Ngakala,full,1
michel-nicaise-nassin,Michel Nicaise Nassin,full,1
michel-yaovi-galley,Michel Yaovi Galley,full,1
micronics-consulting,Micronics Consulting Limited,full,1
micropay-uganda,MicroPay Uganda,full,1
microsoft,Microsoft,full,8
microsoft-africa-development-centre,Microsoft Africa Development Centre,full,1
microsoft-ai-access-principles,Microsoft's AI Access Principles,full,1
microsoft-ai-for-good-lab,Microsoft AI for Good Lab,full,1
microsoft-azure,Microsoft Azure,full,1
microsoft-azure-south-africa,Microsoft Azure South Africa,full,3
microsoft-elevate,Microsoft Elevate,full,1
microsoft-g42-kenya-datacenter,Microsoft-G42 Kenya,partial,2
microsoft-skills-for-jobs,Microsoft's Skills for Jobs,full,1
mics-eagle,MICS-EAGLE,full,1
micsti-lesotho,MICSTI,full,7
mict-namibia,Ministry of Information and Communication Technology,acronym,4
mida,Mida Before Mida,full,1
midas,Migration Information and Data Analysis System,acronym,1
midsp-madagascar,MIDSP,full,1
miga,Multilateral Investment Guarantee Agency,acronym,7
migeprof-rwanda,MIGEPROF,full,1
migret,MIGRET,full,1
mijo,Mijo Wallet,full,1
mikashboks,MikashBoks,full,1
milima-security,Milima Security,full,1
millicent-okumu,Millicent Okumu,full,1
mimosa-mine,Mimosa Mine,full,1
minader-cameroon,MINADER,full,1
minaloc,Minaloc,full,1
minas,MINAS,full,2
mindcaf,MINDCAF,full,3
mindcaf-cameroon,MINDCAF,full,1
minddevel,Le MINDDEVEL,full,1
mine-elect,Mine Elect,full,1
minecofin-rwanda,MINECOFIN,full,1
mineduc-rwanda,MINEDUC,full,4
minee-cameroon,MINEE,full,3
minepat,MINEPAT,full,2
minepat-cameroon,MINEPAT,full,6
mineral-income-investment-fund,Mineral Income Investment Fund,full,1
minesu-rdc,MINESU,full,1
minesup,MINESUP,full,1
minfamu-angola,MINFAMU,full,1
minfopra,MINFOPRA,full,2
minhdu-cameroon,MINHDU,full,1
minict-rwanda,MINICT,full,6
mininfra-rwanda,MININFRA,full,2
minirena-rwanda,MINIRENA,full,1
ministere-affaires-sociales-benin,Ministre des Affaires Sociales,partial,2
ministere-affaires-sociales-drc,Ministère des Affaires Sociales,partial,2
ministere-cadre-vie-benin,Cadre de Vie,partial,1
ministere-de-la-fonction-publique-niger,Fonction Publique,partial,2
ministere-des-finances-rdc,Le Ministre des Finances,partial,3
ministere-economie-finances-djibouti,MINISTERE DE L'ECONOMIE,partial,1
ministere-education-nationale-gabon,Education Nationale,partial,1
ministere-education-nationale-madagascar,Education Nationale,partial,1
ministere-enseignement-de-base-burkina-faso,Enseignement de Base,partial,1
ministere-enseignement-secondaire-benin,Enseignement Secondaire,partial,1
ministere-enseignement-superieur-gabon,MINISTERE DE L'ENSEIGNEMENT SUPERIEUR,full,1
ministere-finances-budget-portefeuille-public-congo,DU BUDGET ET DU PORTEFEUILLE PUBLIC,partial,1
ministere-fonction-publique-civ,Fonction Publique,partial,4
ministere-fonction-publique-gabon,Fonction Publique,partial,1
ministere-formation-professionnelle-benin,Formation Professionnelle,partial,1
ministere-justice-comores,Justice des Comores URL,partial,2
ministere-justice-gabon,MINISTERE DE LA JUSTICE,full,1
ministere-reforme-etat-congo,LA REFORME DE L’ETAT,partial,1
ministere-sante-publique-madagascar,Sante Publique,partial,2
ministere-transition-digitale-burkina-faso,Transition Digitale,partial,3
ministere-transports-guinee,MINISTERE DES TRANSPORTS,partial,1
ministerio-asuntos-exteriores-cooperacion-diaspora-gnq,Ministerio de Asuntos Exteriores,partial,1
ministerio-de-justicia-gnq,Ministerio de Justicia,full,3
ministries-of-education,Ministries of Education,full,1
ministries-of-education-and-ict,Ministries of Education and ICT,full,1
ministry-communications-digital-economy-gambia,Ministry of Communications and Digital Economy,full,1
ministry-communications-innovation-digital-economy-nigeria,Innovation and Digital Economy,partial,1
ministry-digital-economy-djibouti,Digital Economy and Innovation,partial,1
ministry-digital-economy-guinea,Digital Economy,partial,1
ministry-digital-transformation-sudan,Ministry of Digital Transformation and Communications,full,2
ministry-for-state-president-botswana,Ministry for State President,full,1
ministry-ict-innovation-rwanda,Ministry of ICT and Innovation Rwanda,full,1
ministry-industry-commerce-angola,Minister of Industry and Commerce,partial,1
ministry-justice-egypt,Ministry of Justice,full,1
ministry-land-regional-government-gambia,Ministry of Land and Regional Government,full,1
ministry-of-agriculture-and-land-reclamation-egypt,Ministry of Agriculture and Land Reclamation,full,1
ministry-of-agriculture-and-livestock-development-kenya,Kenya Ministry of Agriculture and Livestock Development,full,1
ministry-of-agriculture-and-livestock-libya,Ministry of Agriculture and Livestock,full,1
ministry-of-agriculture-eswatini,Ministry of Agriculture,full,4
ministry-of-agriculture-ethiopia,Ministry of Agriculture,full,6
ministry-of-agriculture-food-security-and-nutrition-lesotho,Ministry of Agriculture and Food Security,partial,1
ministry-of-agriculture-malawi,Malawi Ministry of Agriculture,full,1
ministry-of-agriculture-tanzania,Ministry of Agriculture,full,2
ministry-of-agriculture-water-and-land-reform-namibia,Water and Land Reform,partial,2
ministry-of-agriculture-zambia,Ministry of Agriculture,full,1
ministry-of-agro-industry-mauritius,Ministry of Agro-Industry,full,1
ministry-of-basic-and-secondary-education-gambia,Ministry of Basic and Secondary Education,full,2
ministry-of-basic-and-secondary-education-malawi,Ministry of Basic and Secondary Education,full,1
ministry-of-basic-education-cameroon,Minister of Basic Education,partial,1
ministry-of-child-welfare-and-basic-education-botswana,Ministry of Child Welfare and Basic Education,full,1
ministry-of-commerce-and-industry-cote-divoire,Ministry of Commerce and Industry,full,2
ministry-of-commerce-and-industry-liberia,Ministry of Commerce and Industry,full,2
ministry-of-commerce-and-industry-somalia,Ministry of Commerce and Industry,full,1
ministry-of-commerce-equatorial-guinea,Ministry of Commerce,full,1
ministry-of-communication-and-digital-economy-gambia,Ministry of Communication and Digital Economy and UNICEF,full,1
ministry-of-communication-and-media-burundi,Ministry of Communication and Media,full,1
ministry-of-communication-digital-technology-and-innovations-ghana,Digital Technology and Innovations,partial,11
ministry-of-communication-ict-zanzibar,Zanzibar Ministry of Communication,partial,1
ministry-of-communication-technologies-tunisia,Ministry of Communication Technologies,full,1
ministry-of-communications-and-digital,Ministry of Communications and Digital Transformation,full,1
ministry-of-communications-and-informatics-libya,Communications and Informatics,partial,1
ministry-of-communications-and-information-technology-egypt,Ministry of Communications and Information Technology,full,2
ministry-of-communications-and-innovation-botswana,Ministry of Communications and Innovation Botswana,full,1
ministry-of-community-development-and-social-services-zambia,Ministry of Community Development and Social Services,full,5
ministry-of-defence-nigeria,Ministry of Defence,full,2
ministry-of-defence-somalia,Saudi Ministry of Defence,full,1
ministry-of-digital-benin,Ministry of Digital and Digitalisation,full,1
ministry-of-digital-economy-car,Ministry of Digital Economy,partial,1
ministry-of-digital-economy-cote-divoire,Ivorian Ministry of Digital Economy,full,1
ministry-of-digital-transformation-and-communications-sudan,Ministry of Digital Transformation and Communications,full,1
ministry-of-digital-transformation-and-telecommunications-sudan,Minister of Digital Transformation and Telecommunications,partial,1
ministry-of-digital-transition-and-administrative-reform-morocco,Ministry of Digital Transition and Administrative Reform,full,1
ministry-of-digital-transition-cote-divoire,Ministry of Digital Transition and Digitization,full,1
ministry-of-economic-planning-and-development-eswatini,Ministry of Economic Planning and Development,full,4
ministry-of-economy-and-finance,Ministry of Economy and Finance,full,1
ministry-of-economy-and-finance-korea,Korea's Ministry of Economy and Finance,full,1
ministry-of-education-and-training-eswatini,Ministry of Education and Training of Eswatini,full,1
ministry-of-education-and-training-lesotho,Ministry of Education and Training,full,3
ministry-of-education-botswana,Ministry of Education,full,1
ministry-of-education-comoros,Ministry of National Education,full,1
ministry-of-education-ethiopia,Ministry of Education of Ethiopia,full,1
ministry-of-education-mauritius,Ministry of Education and Human Resource,full,3
ministry-of-education-namibia,Ministry of Education,full,8
ministry-of-education-red-sea-state-sudan,Red Sea State,partial,1
ministry-of-education-seychelles,Ministry of Education Seychelles,full,1
ministry-of-education-sudan,Ministry of Education,full,2
ministry-of-education-tunisia,Tunisian Ministry of Education,full,1
ministry-of-education-zambia,Ministry of Education,full,8
ministry-of-electronics-and-information-technology-india,Ministry of Electronics and Information Technology,partial,2
ministry-of-energy-and-green-transition-ghana,Ministry of Energy and Green Transition,full,1
ministry-of-energy-and-power-development-zimbabwe,Ministry of Energy and Power Development,full,1
ministry-of-energy-and-public-utilities-mauritius,Ministry of Energy and Public Utilities,full,1
ministry-of-energy-and-water-resources-somalia,Ministry of Energy and Water Resources,full,1
ministry-of-energy-sudan,Ministry of Energy,full,2
ministry-of-energy-zambia,Ministry of Energy,full,1
ministry-of-environment-climate-change-and-forestry-kenya,ENVIRONMENT AND CLIMATE CHANGE KENYA,partial,1
ministry-of-environment-rwanda,Ministry of Environment,full,1
ministry-of-external-affairs-india,Ministry of External Affairs,partial,1
ministry-of-external-relations-cameroon,Ministry of External Relations,full,1
ministry-of-finance,Ministry of Finance,full,2
ministry-of-finance-algeria,Ministry of Finance,full,2
ministry-of-finance-and-development-planning-lesotho,Ministry of Finance and Development Planning,full,3
ministry-of-finance-and-development-planning-liberia,Ministry of Finance and Development Planning,full,6
ministry-of-finance-and-economic,Ministry of Finance and Economic Affairs,full,1
ministry-of-finance-and-national-planning,Ministry of Finance and National Planning,full,2
ministry-of-finance-and-national-planning-zambia,Ministry of Finance and National Planning,full,5
ministry-of-finance-and-planning-tanzania,Ministry of Finance and Planning,full,1
ministry-of-finance-angola,Ministry of Finance,full,2
ministry-of-finance-botswana,Ministry of Finance,full,12
ministry-of-finance-budget-and-digital-economy-burundi,Budget and Digital Economy,partial,3
ministry-of-finance-economic-development-and-investment-promotion-zimbabwe,Economic Development and Investment Promotion,partial,3
ministry-of-finance-economic-planning-and-decentralisation-malawi,Ministry of Finance and Economic Planning,partial,1
ministry-of-finance-egypt,Egypt Ministry of Finance,full,1
ministry-of-finance-equatorial-guinea,Ministry of Finance,full,1
ministry-of-finance-eswatini,Ministry of Finance,full,5
ministry-of-finance-ethiopia,Ministry of Finance,full,1
ministry-of-finance-federal-republic,Ministry of Finance,partial,2
ministry-of-finance-ghana,Ghana Ministry of Finance,full,1
ministry-of-finance-gnq,Ministry of Finance,full,1
ministry-of-finance-government-of,Finance Ministry,partial,1
ministry-of-finance-mauritius,MAURITIUS Ministry of Finance,full,1
ministry-of-finance-ministre-de,Ministry of Finance,partial,1
ministry-of-finance-namibia,Ministry of Finance,full,2
ministry-of-finance-planning-and-economic-development-uganda,Planning and Economic Development,partial,3
ministry-of-finance-sierra-leone,Finance Ministry,full,1
ministry-of-finance-somalia,Ministry of Finance Somalia,full,1
ministry-of-finance-sudan,Ministry of Finance,full,5
ministry-of-finance-tanzania,Ministry of Finance,full,1
ministry-of-financial-services-and-economic-planning-mauritius,Ministry of Financial Services and Economic Planning,full,2
ministry-of-fisheries-and-aquaculture-ghana,Ministry of Fisheries and Aquaculture,full,1
ministry-of-fisheries-and-livestock-zambia,Ministry of Fisheries and Livestock,full,1
ministry-of-foreign-affairs-and-international-cooperation-eswatini,Ministry of Foreign Affairs and International Cooperation,full,1
ministry-of-foreign-affairs-and-international-cooperation-malawi,Minister of Foreign Affairs and International Cooperation,partial,1
ministry-of-foreign-affairs-benin,Ministry of Foreign Affairs of Benin,full,1
ministry-of-foreign-affairs-ethiopia,Ministry of Foreign Affairs,full,1
ministry-of-foreign-affairs-gambia,MINISTRY OF FOREIGN AFFAIRS,full,2
ministry-of-foreign-affairs-ghana,Ministry of Foreign Affairs,full,1
ministry-of-foreign-affairs-kenya,Ministry of Foreign&Diaspora Affairs,full,1
ministry-of-foreign-affairs-liberia,Ministry of Foreign Affairs,full,1
ministry-of-foreign-affairs-morocco,Ministry of Foreign Affairs of Morocco,full,1
ministry-of-foreign-affairs-qatar,Ministry of Foreign Affairs of Qatar,full,1
ministry-of-foreign-affairs-uae,Ministry of Foreign Affairs of Benin,partial,1
ministry-of-foreign-affairs-zimbabwe,Deceased. The Ministry of Foreign Affairs,full,1
ministry-of-foreign-trade-and-export-promotion-algeria,Ministry of Foreign Trade and Export Promotion,full,1
ministry-of-gender-children-and-social-protection-ghana,Children and Social Protection,partial,2
ministry-of-gender-children-and-social-protection-liberia,Children and Social Protection,partial,2
ministry-of-gender-children-and-social-welfare-gambia,Ministry of Gender Children and Social Welfare,full,1
ministry-of-gender-equality-poverty-eradication-and-social-welfare-namibia,Poverty Eradication and Social Welfare MHAI Ministry,partial,1
ministry-of-gender-labour-and-social-development-uganda,Labour and Social Development,partial,1
ministry-of-gender-malawi,Ministry of Gender,full,2
ministry-of-general-education-and-instruction-south-sudan,Ministry of General Education and Instruction,full,1
ministry-of-general-education-zambia,Ministry of General Education,full,1
ministry-of-green-economy-and-environment-zambia,Ministry of Green Economy and Environment,full,2
ministry-of-health-and-population-egypt,Ministry of Health and Population,full,3
ministry-of-health-and-social-services-namibia,Ministry of Health and Social Services,full,7
ministry-of-health-benin,Ministry of Health,full,1
ministry-of-health-botswana,Ministry of Health of Botswana,full,2
ministry-of-health-congo,Ministry of Health,full,1
ministry-of-health-eswatini,Eswatini Ministry of Health,full,1
ministry-of-health-ethiopia,Ministry of Health of Ethiopia,full,1
ministry-of-health-ghana,Ministry of Health,full,5
ministry-of-health-guinea,Ministry of Health,full,1
ministry-of-health-kenya,Ministry of Health,full,3
ministry-of-health-liberia,Ministry of Health of Liberia,full,1
ministry-of-health-malawi,Malawi's Ministry of Health,full,2
ministry-of-health-mauritius,Ministry of Health and Wellness,full,4
ministry-of-health-mozambique,Mozambique Ministry of Health,full,1
ministry-of-health-rwanda,Ministry of Health,full,2
ministry-of-health-seychelles,Ministry of Health,full,1
ministry-of-health-sierra-leone,Ministry of Health,full,2
ministry-of-health-sudan,Ministry of Health,full,1
ministry-of-health-tanzania,Ministry of Health,full,1
ministry-of-health-uganda,Ministry of Health of Uganda,full,1
ministry-of-health-zambia,Zambia Ministry of Health,full,2
ministry-of-higher-and-tertiary-education-zimbabwe,Ministry of Higher and Tertiary Education,full,2
ministry-of-higher-education-and-scientific-research-algeria,Ministry of Higher Education and Scientific Research,full,1
ministry-of-higher-education-and-scientific-research-libya,Minister of Higher Education and Scientific Research,partial,1
ministry-of-higher-education-and-scientific-research-sudan,Ministry of Higher Education and Scientific Research,full,1
ministry-of-higher-education-cameroon,Ministry of Higher Education,full,1
ministry-of-higher-education-morocco,Ministry of Higher Education,full,1
ministry-of-home-affairs-and-cultural-heritage-zimbabwe,Ministry of Home Affairs and Cultural Heritage,full,2
ministry-of-home-affairs-and-internal-security-zambia,Ministry of Home Affairs and Internal Security,full,3
ministry-of-home-affairs-immigration-safety-and-security-namibia,Ministry of Home Affairs and Immigration,partial,1
ministry-of-home-affairs-tanzania,Ministry of Home Affairs,full,3
ministry-of-home-affairs-zimbabwe,Ministry of Home Affairs,full,1
ministry-of-homeland-security-malawi,Ministry of Homeland Security,full,1
ministry-of-housing-and-lands-mauritius,Ministry of Housing and Lands,full,1
ministry-of-housing-and-urban-development-eswatini,Ministry of Housing and Urban Development,full,2
ministry-of-housing-and-urban-development-nigeria,Housing and Urban Development,partial,1
ministry-of-human-resources-and-social-welfare-sudan,Ministry of Human Resources and Social Welfare,full,1
ministry-of-humanitarian-affairs-disaster-management-southwest-state,Ministry of Humanitarian Affairs and Disaster Management,partial,1
ministry-of-ict-and-digital-economy-kenya,ICT and Digital Economy,partial,1
ministry-of-ict-and-innovation,Ministry of ICT and Innovation,full,2
ministry-of-ict-and-national,Ministry of ICT and National Guidance,full,1
ministry-of-ict-digital-development-kenya,Ministry of ICT and Digital Development,full,1
ministry-of-industrial-development-smes-and-cooperatives-mauritius,Ministry of Industrial Development,partial,1
ministry-of-industry-and-commerce-morocco,Ministry of Industry and Commerce,full,1
ministry-of-industry-and-information-technology-china,Ministry of Industry and Information Technology,partial,1
ministry-of-industry-and-minerals-libya,Ministry of Industry and Minerals,full,1
ministry-of-industry-egypt,Ministry of Industry,full,1
ministry-of-information-and-communication-infrastructure-gambia,MINISTRY OF INFORMATION AND COMMUNICATION INFRASTRUCTURE,full,1
ministry-of-information-and-communication-technology-namibia,Ministry of Information and Communication Technology,full,1
ministry-of-information-and-communications-sudan,Sudanhorizon The Ministry of Information and Communications,full,1
ministry-of-information-and-digitalization-malawi,Malawi Ministry of Information and Digitalization,full,1
ministry-of-information-and-media-zambia,Ministry of Information and Media,full,3
ministry-of-information-communications-and-the-digital-economy-kenya,COMMUNICATIONS AND THE DIGITAL ECONOMY,partial,1
ministry-of-information-eritrea,Eritrea Ministry of Information,full,1
ministry-of-information-gambia,Ministry of Information,full,3
ministry-of-information-media-and-broadcasting-services-gambia,Media and Broadcasting Services,partial,1
ministry-of-information-somalia,Ministry of Information,full,1
ministry-of-information-south-sudan,Ministry of Information,full,2
ministry-of-information-technology-communication-and-innovation-mauritius,Ministry of Information Technology,partial,3
ministry-of-infrastructure-and-transport-sudan,Ministry of Infrastructure and Transport,full,1
ministry-of-innovation-and-technology-ethiopia,Ministry of Innovation and Technology,full,7
ministry-of-interior-egypt,Ministry of Interior,full,2
ministry-of-interior-ghana,Interior Ministry,full,1
ministry-of-interior-kenya,Ministry of Interior,full,1
ministry-of-interior-libya,Ministry of Interior,full,1
ministry-of-interior-morocco,Interior Ministry,full,1
ministry-of-interior-tunisia,Ministry of Interior,full,3
ministry-of-internal-affairs-liberia,Ministry of Internal Affairs,full,1
ministry-of-internal-affairs-uganda,Ministry of Internal Affairs,full,1
ministry-of-internal-security-somalia,Ministry of Internal Security,full,1
ministry-of-internal-trade-algeria,Ministry of Internal Trade and Regulation,full,1
ministry-of-international-relations-and-trade-namibia,Minister of International Relations and Trade,partial,1
ministry-of-investment-entrepreneurship-and-industry-seychelles,Entrepreneurship and Industry The Ministry of Investment,full,1
ministry-of-investment-sudan,Ministry of Investment,full,1
ministry-of-justice-algeria,Justice Ministry,full,1
ministry-of-justice-and-constitutional-affairs-eswatini,ESWATINI Ministry of Justice and Constitutional Affairs,full,1
ministry-of-justice-and-human-rights-cote-divoire,Minister of Justice and Human Rights,partial,1
ministry-of-justice-and-labour-relations-namibia,Ministry of Justice and Labour Relations,full,1
ministry-of-justice-burkina-faso,Ministry of Justice,full,1
ministry-of-justice-cameroon,Ministry of Justice,full,2
ministry-of-justice-comoros,Ministry of Justice,full,1
ministry-of-justice-cote-divoire,Ministry of Justice,full,1
ministry-of-justice-egypt,Ministry of Justice,full,2
ministry-of-justice-eswatini,Ministry of Justice,full,1
ministry-of-justice-ethiopia,Ministry of Justice,full,2
ministry-of-justice-gambia,Ministry of Justice,full,1
ministry-of-justice-legal-and-parliamentary-affairs-zimbabwe,Legal and Parliamentary Affairs,partial,1
ministry-of-justice-morocco,Ministry of Justice,full,1
ministry-of-justice-mozambique,Ministry of Justice,full,1
ministry-of-justice-namibia,Ministry of Justice,full,1
ministry-of-justice-zambia,Ministry of Justice,full,2
ministry-of-justice-zimbabwe,Zimbabwe. The Ministry of Justice,full,1
ministry-of-knowledge-economy-algeria,Knowledge Economy and Telecommunications,partial,1
ministry-of-labor-and-skills-ethiopia,Ministry of Labor and Skills,full,1
ministry-of-labor-and-social-affairs-somalia,Ministry of Labor and Social Affairs,full,1
ministry-of-labour-and-employment-lesotho,Ministry of Labour and Employment,full,1
ministry-of-labour-and-home-affairs-botswana,Ministry of Labour and Home Affairs,full,5
ministry-of-labour-and-rehabilitation-libya,Ministry of Labour and Rehabilitation,full,1
ministry-of-labour-and-social-affairs-ethiopia,Ministry of Labour and Social Affairs The Ministry,full,1
ministry-of-labour-and-social-security-zambia,Ministry of Labour and Social Security,full,1
ministry-of-labour-gender-and-social-action-mozambique,Gender and Social Action,partial,1
ministry-of-labour-industrial-relations-and-employment-creation-namibia,INDUSTRIAL RELATIONS AND EMPLOYMENT CREATION,partial,1
ministry-of-land-reform-namibia,Ministry Land Reform,full,1
ministry-of-lands-and-agriculture-botswana,Ministry of Lands and Agriculture,full,3
ministry-of-lands-and-natural-resources-ghana,Ministry of Lands and Natural Resources,full,1
ministry-of-lands-and-natural-resources-zambia,Ministry of Lands and Natural Resources,full,1
ministry-of-lands-and-resettlement-namibia,Ministry of Lands and Resettlement,full,1
ministry-of-lands-zambia,Ministry of Lands,full,1
ministry-of-local-government-and-disaster-risk-management-mauritius,Ministry of Local Government and Disaster Risk Management,full,1
ministry-of-local-government-and-inner-islands-seychelles,Ministry of Local Government and Inner Islands,full,1
ministry-of-local-government-and-rural-development-zambia,Ministry of Local Government and Rural Development,full,3
ministry-of-local-government-and-traditional-affairs-botswana,Ministry of Local Government and Traditional Affairs,full,1
ministry-of-local-government-botswana,Ministry of Local Government,full,2
ministry-of-local-government-ghana,Ministry of Local Government,full,4
ministry-of-local-government-liberia,Ministry of Local Government,full,2
ministry-of-local-government-mauritius,Ministry of Local Government,full,1
ministry-of-mines-and-energy-namibia,Ministry of Mines and Energy,full,1
ministry-of-mines-and-minerals-development-zambia,Ministry of Mines and Minerals Development. Ensure,full,1
ministry-of-national-defence-algeria,Ministry of National Defence,full,1
ministry-of-national-education-and,Ministry of National Education and Literacy,full,1
ministry-of-national-education-cote-divoire,Ministry of National Education,full,1
ministry-of-natural-resources-and-climate-change-malawi,Ministry of Natural Resources and Climate Change,full,1
ministry-of-natural-resources-and-energy-eswatini,Ministry of Natural Resources and Energy,full,3
ministry-of-natural-resources-malawi,Minister of Natural Resources,partial,1
ministry-of-planning-economic-development-egypt,Ministry of Planning and Economic Development,full,1
ministry-of-post-and-telecommunications-algeria,Ministry of Post and Telecommunications,full,1
ministry-of-posts-and-telecommunications-algeria,Algerian Ministry of Posts and Telecommunications,full,1
ministry-of-posts-and-telecommunications-cameroon,Ministry of Posts and Telecommunications,full,3
ministry-of-posts-and-telecommunications-congo,Postal and Telecommunications Ministry,partial,1
ministry-of-posts-and-telecommunications-liberia,Liberia Ministry of Posts and Telecommunications,full,2
ministry-of-posts-telecommunications-and,Ministry of Posts,partial,1
ministry-of-primary-and-secondary-education-zimbabwe,Ministry of Primary and Secondary Education Zimbabwe,full,1
ministry-of-public-contracts-cameroon,Ministry of Public Contracts,full,1
ministry-of-public-security-china,Ministry of Public Security,partial,1
ministry-of-public-service-and-administrative-reforms-mauritius,Ministry of Public Service and Administrative Reforms,full,2
ministry-of-public-service-eswatini,Ministry of Public Service,full,1
ministry-of-public-service-gambia,Ministry of Public Service,full,2
ministry-of-public-service-lesotho,Ministry of Public Service,full,1
ministry-of-public-service-uganda,Ministry of Public Service,full,1
ministry-of-regional-local-government-and-housing-namibia,Ministry of Regional Local Government and Housing,full,1
ministry-of-revenue-ethiopia,Ministry of Revenue,full,7
ministry-of-roads-and-highways-ghana,Ministry of Roads and Highways,full,1
ministry-of-scientific-research-and-innovation-cameroon,Minister of Scientific Research and Innovation,partial,1
ministry-of-secondary-education-cameroon,Ministry of Secondary Education,full,1
ministry-of-social-affairs-and-gender-equality-equatorial-guinea,Ministry of Social Affairs and Gender Equality,full,1
ministry-of-social-affairs-cameroon,Ministry of Social Affairs,full,4
ministry-of-social-affairs-libya,Ministry of Social Affairs,full,1
ministry-of-social-integration-social-security-and-national-solidarity-mauritius,Social Security and National Solidarity My Ministry,partial,1
ministry-of-social-security-mauritius,Ministry of Social Security,full,1
ministry-of-social-solidarity-egypt,Ministry of Social Solidarity,full,2
ministry-of-solid-minerals-development-nigeria,Abuja The Ministry of Solid Minerals Development,full,1
ministry-of-sport-and-arts-botswana,Ministry of Sport and Arts,full,1
ministry-of-state-for-information-egypt,Minister of State for Information,partial,1
ministry-of-state-liberia,Ministry of State,full,1
ministry-of-supply-egypt,Ministry of Supply,full,2
